DATABASE;Antibiotic.Class;GENE;ACCESSION;Standard.Gene.Name;Antibiotic.Gene.Family;Disinfecting.Agent;Metal.resistance;Mechanism
ARG-ANNOT;aminoglycoside;(AGly)aac-IVa;X01385:244-1029;AAC(3)-Iva;AAC(3);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aac3-IIa;X51534:91-951;AAC(3)-Iie;AAC(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aac3-IId;EU022314:1-861;"	AAC(3)-Iid";AAC(3);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aac6-Aph2;M13771:304-1743;AAC6_Ie_APH2_Ia;aminoglycoside bifunctional resistance protein;;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aac6-Iad;AB119105:1-435;AAC(6')-Iad;AAC(6');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aac6-Im;AF337947:1215-1751;AAC(6')-Im;AAC(6');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aad9;M69221:271-1038;ANT(9)-Ib;ANT(9);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA1-pm;JQ690540:7968-8798;aadA;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA11;AJ567827:1-792;aadA11;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA13;AY713504:1-798;aadA13;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA14;AJ884726:540-1325;aadA14;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA2;X68227:66-945;aadA2;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA24;HQ123586:88-768;aadA24;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA27;NG_054660:101-889;aadA27;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA5;AF137361:64-852;"	aadA5";ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA6;AF140629:61-906;aadA11;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA7;AF224733:32-829;"	aadA7";ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadA9;AJ420072:26773-27609;aadA9;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadB;JQ690540:4275-4808;ANT(2'')-Ia;ANT(2'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadC;V01282:225-701;aadC;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadD;AF181950:3176-3946;ANT(4')-Ia;ANT(4');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aadS;NG_047380:101-964;aadS;ANT(6);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)ant(3'')-IIa;NG_054648:101-889;ANT(3'')-Iia;ANT(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)ant6-Ia;AF330699:22-930;ANT(6)-Ia;ANT(6);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)ant6-Ib;FN594949:27482-28339;ANT(6)-Ib;ANT(6);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)apH-Stph;HE579073:1778413-1779213;APH(9)-Ia;APH(9);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph(2'')-Ic;U51479:196-1116;APH(2'')-IIIa;"APH(2"")";;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph(2'')-Ih;NG_047408:1-894;APH(2'')-If;APH(2'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph(3'')-Ia;FJ172370:38668-39483;APH(3')-Ia;APH(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph(3'')-III;V01547:535-1329;APH(3')-IIIa;APH(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph(3')-IX;NG_055648:101;APH(3')-IXa;APH(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph4-Ia;V01499:231-1256;APH(4)-Ia;APH(4);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aph7;GG774704:686456-687373;APH(7);APH(7'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aphA2;X57709:1-795;APH(3')-IIa;APH(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)aphA6;JF949760:695-1474;"	APH(3')-Via";APH(3');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)rmtF;JQ808129:55-876;"	rmtF";16S rRNA methyltransferase (G1405);;;antibiotic target alteration
ARG-ANNOT;aminoglycoside;(AGly)spc;X02588:331-1113;"	ANT(9)-Ia";ANT(9);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)spw;NG_048075:101-910;ANT(9)-Ia;APH(9);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)str;X92946:18908-18060;aadK;ANT(6);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)strA;AB366441:22458-23261;APH(3'')-Ib;APH(3'');;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;(AGly)strB;FJ474091:264-1100;APH(6)-Id;APH(6);;;antibiotic inactivation
ARG-ANNOT;aminoglycoside;AGly)aph(3')-IX;NG_055648:101;APH(3')-IXa;APH(3');;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)aci1;AJ007350:240-1094;ACI-1;ACI beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)AmpC1_Ecoli;FN649414:2765051-2766355;PDC-391;PDC beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)AmpC2_Ecoli;CP002970:332756-333889;Ecol_ampC_BLA;ampC-type beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)ampH_Ecoli;AP012030:395554-396711;ampH;ampC-type beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaARL-1;NG_054950:101-949;ARL-1;ARL Beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaCARB-16;NG_048718:101-997;CARB-16;CARB beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaCBP-1;NG_048756:1-927;"	CBP-1";CBP beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaCMY-1;X92508:1-1149;CMY-1;CMY beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaEBR-1;AF416700:57-764;EBR-2;EBR beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaIMP-13;JN091097:261-1001;"	IMP-13";IMP beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaMOX-6;GQ152601:1-1152;MOX-25;MOX beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaMUS-1;AF441286:225-965;MUS-1;MUS beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOCH-7;AJ295345:1-1173;OCH-7;OCH beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-1;JQ682867:1-831;OXA-1;OXA beta-lactamase;;;antibiotic inactivation
ARG-ANNOT;beta-lactam;(Bla)blaOXA-2;HM131431:1-828;"	OXA-2";OXA beta-lactamase;;;antibiotic inactivation
